,word,label
0,i,en
1,dnt,en
2,tink,as
3,ders,as
4,any,en
5,bad,en
6,in,en
7,taking,en
8,part,en
9,in,en
10,shws,en
11,lyk,as
12,dat,en
13,atleast,en
14,she,as
15,tried,en
16,vich,as
17,we,en
18,cudn,en
19,t,as
20,do,en
21,or,as
22,we,en
23,evn,en
24,tried,en
25,to,en
26,revealing,en
27,dats,en
28,odr,as
29,thng,as
30,bt,en
31,they,en
32,represnt,en
33,ne,as
34,y,as
35,anup,as
36,bhai,as
37,klke,as
38,thaki,as
39,verification,en
40,oibo,as
41,ni,as
42,sir,en
43,mur,as
44,fathear,as
45,cancer,en
46,hoi,as
47,se,as
48,please,en
49,sir,en
50,olp,as
51,help,en
52,koribo,as
53,moi,as
54,apunk,as
55,emill,as
56,kori,as
57,so,en
58,please,en
59,sir,en
60,emill,as
61,to,en
62,sab,as
63,thnxx,en
64,a,en
65,lot,en
66,didi,as
67,we,en
68,r,as
69,suffering,en
70,soo,as
71,much,en
72,congress,ne
73,r,as
74,mp,en
75,mla,en
76,or,as
77,bjp,ne
78,r,as
79,mp,en
80,mla,en
81,kaw,as
82,dayii,as
83,nai,as
84,amrar,as
85,job,en
86,na,as
87,dawrpichne,as
88,ekmatro,as
89,karon,as
90,hbs,en
91,congsrre,en
92,takrsomoi,as
93,appointment,en
94,dimukoia,as
95,cm,en
96,howar,as
97,luve,en
98,congsree,en
99,charia,as
100,bosmbadi,as
101,oigela,as
102,otakoria,as
103,gelo,as
104,ailo,as
105,election,en
106,tain,as
107,joinkorla,as
108,bjp,ne
109,koila,as
110,jitle,as
111,sabre,en
112,job,en
113,diba,as
114,jitlawo,as
115,ageeo,as
116,asla,as
117,edu,as
118,ministr,en
119,same,en
120,ekno,as
121,oila,as
122,tanu,as
123,luv,en
124,oilo,as
125,majkno,as
126,amra,as
127,thik,as
128,ager,as
129,jagatu,as
130,roilam,as
131,but,en
132,consumes,en
133,themselves,en
134,its,en
135,aaptard,as
136,s,as
137,logic,en
138,bro,as
139,s,as
140,hws,en
141,moto,as
142,g,as
143,any,en
144,cons,en
145,atiao,as
146,aku,as
147,hidhdhanta,as
148,lowa,as
149,hoya,as
150,nai,as
151,so,en
152,eman,as
153,furti,as
154,kribo,as
155,nalage,as
156,uk,en
157,p,en
158,tchr,en
159,rare,en
160,khli,as
161,trn,en
162,krbo,as
163,amrar,as
164,kno,as
165,ktanai,as
166,sir,en
167,still,en
168,the,en
169,road,en
170,condition,en
171,between,en
172,bhootnath,as
173,to,en
174,santiour,as
175,is,en
176,very,en
177,bad,en
178,and,en
179,due,en
180,to,en
181,this,en
182,reason,en
183,i,en
184,always,en
185,get,en
186,late,en
187,in,en
188,office,en
189,kindly,en
190,do,en
191,needful,en
192,actiin,as
193,plz,en
194,kunubai,as
195,jodi,as
196,mp,en
197,election,en
198,aru,as
199,mla,en
200,election,en
201,eke,as
202,buli,as
203,vabise,as
204,teo,as
205,coment,en
206,nidiya,as
207,val,as
208,jetiya,as
209,mp,en
210,election,en
211,ot,as
212,agp,en
213,matro,as
214,eta,as
215,seat,en
216,paisil,as
217,tetiya,as
218,cm,en
219,vabisil,as
220,etiya,as
221,bjp,ne
222,loi,as
223,juwa,as
224,val,as
225,hobo,as
226,mane,as
227,mp,en
228,folafol,as
229,sai,as
230,hai,as
231,ahisil,as
232,kiman,as
233,hubitha,as
234,badi,as
235,aru,as
236,hbs,en
237,ahisil,as
238,electionor,en
239,agote,as
240,mane,as
241,haribo,as
242,pare,as
243,jikibo,as
244,pare,as
245,ei,as
246,bilak,as
247,hai,as
248,manuh,as
249,gosot,as
250,goru,as
251,utha,as
252,kotha,as
253,tu,as
254,nohoi,as
255,ki,as
256,nu,as
257,hoi,as
258,tendulkar,ne
259,sini,as
260,napala,as
261,aku,as
262,dangor,as
263,kotha,as
264,nohoi,as
265,d,as
266,hbs,en
267,sir,en
268,r,as
269,o,as
270,protisruti,as
271,dao,as
272,ja,as
273,tmi,as
274,palon,as
275,korbe,as
276,er,as
277,mp,en
278,el,en
279,er,as
280,somoy,as
281,notuva,as
282,voter,en
283,ra,as
284,vule,as
285,jave,as
286,apnar,as
287,krititto,as
288,sukumar,as
289,biswas,as
290,former,en
291,president,en
292,of,en
293,bengali,en
294,youth,en
295,and,en
296,students,en
297,federation,en
298,joins,en
299,incindia,en
300,at,en
301,rajiv,as
302,bhawan,as
303,guwahati,ne
304,in,en
305,cachar,as
306,verification,en
307,start,en
308,mrw,en
309,but,en
310,post,en
311,is,en
312,not,en
313,mentioned,en
314,any,en
315,district,en
316,name,en
317,so,en
318,do,en
319,not,en
320,serious,en
321,it,en
322,is,en
323,all,en
324,about,en
325,frndship,en
326,combined,en
327,say,en
328,i,en
329,m,as
330,also,en
331,unemployed,en
332,tet,as
333,qualified,en
334,o,as
335,be,en
336,basanti,as
337,dance,en
338,easanti,as
339,ikhane,as
340,koi,as
341,likhlo,as
342,j,as
343,relaxation,en
344,hochhe,as
345,nrc,ne
346,november,ne
347,flashbacknov,as
348,no,en
349,deadline,en
350,set,en
351,for,en
352,nrc,ne
353,verification,en
354,work,en
355,centre,en
356,http,en
357,www,en
358,sentinelassam,as
359,com,as
360,mainnews,en
361,story,en
362,php,en
363,sec,en
364,subsec,en
365,id,en
366,dtp,en
367,ppr,en
368,wd,en
369,es,as
370,j,as
371,iu,as
372,dled,en
373,extension,en
374,hole,as
375,i,en
376,an,en
377,eko,as
378,nalage,as
379,apunr,as
380,confession,en
381,sai,as
382,anaika,as
383,lagise,as
384,apuni,as
385,highly,en
386,depress,en
387,like,en
388,comment,en
389,npua,as
390,krne,as
391,its,en
392,ok,as
393,tumi,as
394,nijoke,as
395,dhuiya,as
396,nedekha,as
